,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
15,0.777185682,RF,0.780368289,0.721882442,0.587271385,16,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}",0.311898466,0.213684211,0.357231451,0.663637991,0.100444444,0.020198537,0.042673077,0.793828545
137,0.785424087,RF,0.796595195,0.755792878,0.587030517,138,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 10}",0.268514014,0.189157895,0.305094131,0.668415987,0.140444444,0.019733542,0.071125,0.795520771
138,0.783537295,RF,0.792996243,0.747038096,0.587000417,139,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.280232681,0.207684211,0.313687708,0.666565593,0.128888889,0.018364681,0.064951923,0.795439215
116,0.78242638,RF,0.790802643,0.742900249,0.58680487,117,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.285383395,0.207684211,0.32124031,0.665638148,0.124444444,0.016985371,0.063730769,0.79508608
118,0.783181097,RF,0.792374867,0.745999261,0.586635402,119,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.281501851,0.205578947,0.31654485,0.666079156,0.128,0.017904911,0.064942308,0.795249075
134,0.783921707,RF,0.793881294,0.749076242,0.586556273,135,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.27760973,0.205578947,0.310830565,0.66596883,0.131555556,0.0142372,0.072423077,0.795417357
38,0.78242638,RF,0.791030538,0.74304082,0.586365345,39,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.285383395,0.203578947,0.323145072,0.665625479,0.124444444,0.018819227,0.061259615,0.79508608
19,0.778677482,RF,0.783774912,0.729054074,0.586078305,20,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.302834479,0.211684211,0.344939092,0.664089978,0.109333333,0.022946708,0.045153846,0.793916094
112,0.780931053,RF,0.788278017,0.738220497,0.586048194,113,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.291189847,0.215894737,0.325957918,0.663374194,0.12,0.011938349,0.067461538,0.794405077
22,0.782786105,RF,0.791777425,0.74574723,0.586043702,23,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.281491274,0.207894737,0.315481728,0.664395104,0.128888889,0.011024033,0.074875,0.794809918
132,0.782429907,RF,0.791266796,0.744706364,0.585975299,133,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.282781597,0.207789474,0.317408638,0.664414022,0.128,0.011478579,0.073663462,0.794609201
136,0.782807265,RF,0.792028976,0.745865044,0.585797169,137,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.281501851,0.207684211,0.315548173,0.665172042,0.128888889,0.016065831,0.068067308,0.79480463
3,0.758063834,svm_rbf,0.744115088,0.656687037,0.585787411,4,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1}",0.39091486,0.308105263,0.429435216,0.647279808,0.037333333,0,0.026,0.785875903
104,0.783184624,RF,0.792879324,0.748205975,0.585705349,105,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.278254892,0.203684211,0.312646733,0.665021531,0.132444444,0.012403344,0.075480769,0.794650332
107,0.78581908,RF,0.798267945,0.759748206,0.585613719,108,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 8}",0.263331571,0.185263158,0.299401993,0.668274211,0.146666667,0.019738767,0.075461538,0.795000881
119,0.783181097,RF,0.792871446,0.74824906,0.585469212,120,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 8}",0.278233739,0.197473684,0.315548173,0.666078418,0.132444444,0.020193312,0.064923077,0.794660908
18,0.776818903,RF,0.780487381,0.723203189,0.585325026,19,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.309952406,0.221789474,0.350609081,0.661714401,0.104,0.018364681,0.047605769,0.793023797
99,0.777933345,RF,0.782642731,0.727380992,0.585276471,100,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 5}",0.304769963,0.211684211,0.347774086,0.663609566,0.108444444,0.024785789,0.042067308,0.793392796
