,median,meanci_1,Diff_median_of_plot,Diff_mean_of_row,Type,Y_binary
364,2.749824140000001,3.268039960000003,0.030050278,0.690638379,Clog,0.0
229,2.490396879999999,3.10861087,0.089477539,0.064829915,Clog,0.0
37,2.511620330000003,3.204461150000004,-0.031745911,-0.126318529,Leak,1.0
157,3.390001679999997,3.766748129999996,-0.310127258,-0.188169491,Clog,0.0
237,2.660018919999999,3.391277889999998,0.019855499,-0.141725627,Clog,0.0
733,3.899994280000001,4.521133810000002,-0.320119858,-0.313419765,Control,1.0
374,2.25993347,2.838829269999998,0.419940948,0.435011493,Clog,0.0
469,4.209762570000002,4.681911239999998,-0.799446106,-0.695639652,Control,1.0
370,2.889974209999998,3.428776900000003,-0.110099792,0.088825639,Clog,0.0
442,2.859939189999999,3.825697210000001,0.650377274,0.05393825,Clog,0.0
735,4.429953770000001,4.993802499999997,-0.550079346,-0.475204913,Control,1.0
175,2.099864200000003,2.740533889999998,0.280010223,-0.098605979,Clog,0.0
650,3.399745940000003,4.113426259999997,-0.719871521,-0.916153984,Control,1.0
127,3.120206450000005,3.70048233,-0.340332031,-0.005191765,Leak,1.0
567,3.160200500000002,3.618260729999996,-0.58032608,-0.444395011,Control,1.0
194,2.350027470000001,3.067367480000001,0.729846954,0.453797922,Clog,0.0
652,2.759864810000003,3.376561850000002,-0.079990387,-0.127085862,Control,1.0
660,2.789916990000002,3.596273959999998,-0.110042572,-0.369463004,Control,1.0
383,4.629969019999997,5.222487180000002,-0.550094604,-0.318880238,Clog,0.0
503,2.839953989999998,3.587957110000005,-0.060079575,-0.278125957,Control,1.0
530,3.624656680000001,4.474221890000003,-0.21434021,-0.749336885,Control,1.0
624,3.579911800000005,4.260905600000001,-0.800037384,-0.853878631,Control,1.0
737,4.374756239999996,4.950196069999997,-0.794881821,-0.813564549,Control,1.0
638,3.609889600000002,3.930876430000005,-0.830015182,-0.547976,Control,1.0
736,4.219878390000002,4.907865099999999,-0.340003967,-0.408374579,Control,1.0
162,2.659970470000001,3.430905409999998,-0.280096054,-0.597547322,Clog,0.0
549,3.390127559999996,3.949216649999997,-0.810253143,-0.742255909,Control,1.0
152,2.10002441,2.85269568,0.279850006,0.098326693,Clog,0.0
533,3.460189060000001,4.021726480000002,0.150127411,-0.071996463,Control,1.0
548,3.30004349,3.7877996,-0.720169067,-0.62343141,Control,1.0
587,3.339989089999996,3.846978010000001,-0.76011467,-0.722025709,Control,1.0
111,2.299870299999998,2.899193350000001,0.18000412,0.17869852,Leak,1.0
226,3.010092159999999,3.63769293,0.069782257,-0.027303434,Clog,0.0
539,2.900253300000003,3.522991560000001,-0.220378876,-0.52663189,Control,1.0
103,4.039888000000005,4.635067730000003,-0.76001358,-0.713322029,Leak,1.0
421,2.529968259999997,3.161797270000001,0.149906158,0.332899181,Clog,0.0
419,1.620014189999999,2.292225559999999,1.059860229,0.930079071,Clog,0.0
119,2.350273129999998,3.090176200000002,0.329601288,0.239182408,Leak,1.0
53,2.660171130000002,3.461794510000004,0.119703293,0.141379838,Leak,1.0
151,2.17009277,2.688482879999999,0.209781647,0.17168616,Clog,0.0
403,4.13000641,4.896541820000003,-0.850131989,-0.875625171,Clog,0.0
718,4.420047,4.941142129999999,-0.540172577,-0.666625142,Control,1.0
207,2.629938509999995,3.301681109999997,-0.050064087,0.05241083,Clog,0.0
645,2.869949339999998,3.390528500000002,-0.190074921,-0.109174325,Control,1.0
593,3.01997223,3.38820827,-0.440097809,-0.280837915,Control,1.0
8,2.359972380000002,3.0353104,0.219902039,0.427169671,Leak,1.0
621,3.630139920000005,4.044375430000002,-0.850265503,-0.647073532,Control,1.0
36,2.469815830000002,3.276176660000004,0.310058594,-0.202197186,Leak,1.0
452,3.769954679999998,4.504733969999997,-1.090080261,-1.306770437,Control,1.0
253,2.069969940000004,2.814832230000004,0.40990448,0.189422969,Clog,0.0
303,3.360185620000003,4.003326999999999,-0.180311203,0.650966466,Clog,0.0
581,3.479929349999999,3.890998849999995,-0.900054932,-0.710579915,Control,1.0
554,3.390048980000003,3.759641260000002,-0.710174561,-0.447766824,Control,1.0
722,4.389927670000002,4.954950450000002,-0.410053253,-0.475244307,Control,1.0
262,2.19991379,3.011122850000003,0.279960632,-0.090078001,Clog,0.0
297,3.089891819999998,3.785701249999995,-0.010017395,-0.416797837,Clog,0.0
414,2.210068510000003,2.735123810000001,0.269805908,0.652063467,Clog,0.0
150,2.10978622,2.899151809999996,0.770088196,0.108157277,Leak,1.0
609,3.370035549999997,3.730929519999997,-0.790161133,-0.524853454,Control,1.0
679,3.440106960000001,3.862082860000001,-0.660232544,-0.64644952,Control,1.0
488,5.009907909999999,5.57436066,-1.130033493,-1.155722552,Control,1.0
147,2.249977110000003,2.801988510000001,0.429897308,0.333816696,Leak,1.0
